,xi+,xi-,r,sig
0,0.0007892446828887409,-0.0007418114659627405,3.4997713886705424,0.00031182830816702873
1,0.0003456772984074007,0.00014568684165851105,4.655694814244628,0.00023822412094080743
2,0.0005581493824018565,-6.740769278080637e-05,6.181985200385317,0.00018086884063655967
3,0.0005966257395220479,-0.00010776328769966282,8.20836893634949,0.00013785161398200682
4,0.00016454025729532645,-0.00020022922729937546,10.89492904710055,0.00010541725464114523
5,0.0004904311027954062,1.9708585663097058e-05,14.462266795537802,8.107203535307641e-05
6,0.00023531406152463042,2.6133078256134126e-05,19.19545468390261,6.275567349764896e-05
7,0.00028499353526696057,0.00020327609109904656,25.47232258489264,4.921559590980465e-05
8,0.00012468799667748583,0.0003576060491816588,33.78489364062976,3.9317725150106815e-05
9,0.0003023750834900862,0.0002637539439602013,44.79096650821695,3.212623171404416e-05
10,9.885972811846772e-05,0.0001604551650173071,59.316421464273624,2.7343116422836516e-05
11,0.00019385784035464782,0.00021405626487920793,78.35109091819649,2.539692818974141e-05
