,xip,xim,r,sig
0,0.0004131499509240756,3.4614999459315823e-05,1.2320455791159344,0.00015019270034060233
1,0.0001565723524667406,3.4544290385211075e-05,1.7972462446775523,0.00010500911884302191
2,0.00014609440729136498,7.521988139595482e-05,2.6155946095796834,7.28551711517816e-05
3,0.0001561038881002456,7.279377441132705e-05,3.805628405765241,5.058214745743298e-05
4,0.00010943707044446713,4.3398474241536476e-05,5.537176013004005,3.519483989720424e-05
5,8.114495925211172e-05,4.549782800210927e-05,8.054775498198245,2.4632573544536443e-05
6,5.950284538242528e-05,1.4015117282390075e-05,11.714337970105728,1.7352450048263626e-05
7,3.115597803726008e-05,1.745547897338349e-05,17.02998131368108,1.2355207291826958e-05
8,2.3203010178264147e-05,2.6845612370316303e-06,24.746235505352647,8.957333984918522e-06
9,2.741129795856462e-05,1.969412852539296e-05,35.95138873034642,6.6884933129878715e-06
10,3.0443979038945872e-06,1.6206819681588647e-05,52.05777804717008,5.199031343837516e-06
11,-4.166523880477675e-06,8.690062042820767e-06,75.03407875855784,4.551980135062457e-06
