,xi,sig,r
0,0.015568542733197365,0.0119872097035102,1.1781896328159878
1,0.007612138353111854,0.0089590854657493,1.5919907156336066
2,0.01853010980729337,0.00665759255473214,2.1482764816669158
3,0.004059608438394163,0.004958294978174392,2.9023500803314084
4,0.012851712067384282,0.0036870781163970503,3.9182003318406924
5,0.009574991987802452,0.0027526119210312147,5.2896471647900345
6,0.007181360821868681,0.002060310826131536,7.140235453269674
7,0.0024404717337727063,0.0015472243259468245,9.636562603835033
8,0.002521430482123769,0.0011687553605235698,13.006487130674442
9,0.003427794174556835,0.0008902883323067547,17.554265938956675
10,0.004010433149858299,0.000683666151179109,23.67683473777824
11,0.002390045380311318,0.0005355246490810142,31.930491070549493
12,0.005260670055505195,0.00043023708124632036,43.02027495673783
13,-0.002004990602615872,0.0003601438844380761,57.92366100666462
14,0.003860726860153893,0.0003276668613570188,77.71486081056227
