,xip,xim,r,sig
0,0.00011217970520252556,9.494320446959283e-05,1.2323369412169383,0.00013723501255865256
1,0.00014196433890077996,4.698202418273795e-05,1.7968827808445802,9.543790999861444e-05
2,0.0001685336035708993,3.459902650663515e-05,2.6163226662829846,6.60068525293825e-05
3,9.457508790025761e-05,-4.3166900918863525e-05,3.8071781342223874,4.571192561319891e-05
4,3.184232428106106e-05,3.928194481677351e-05,5.539422582529588,3.1718982816949085e-05
5,7.519315239131469e-05,5.1552960848954e-07,8.056350939502709,2.2122280525252058e-05
6,2.5671525303252552e-05,-8.614489482400995e-06,11.716060136027837,1.5546202537775278e-05
7,-9.062145260392452e-06,2.6993227417464093e-05,17.03024461216656,1.1062930724041396e-05
8,1.6211344283089276e-05,1.981874086352336e-05,24.749145937333804,8.005783446525033e-06
9,-2.4442585201458e-06,1.2954520518819777e-05,35.954425061969665,5.9642985643619695e-06
10,1.630194620908404e-06,7.926894210606837e-06,52.06409440740647,4.6402642196295125e-06
11,-2.36960146080445e-06,-2.115753904026142e-06,75.03760368405968,4.06901667975535e-06
