,xip,xim,r,sig
0,6.150655172047369e-05,-0.00017350945366992551,1.2315081795548715,0.00015216783797368082
1,0.0001476263325282884,-6.880410166698825e-05,1.7970463851604412,0.00010712066684874498
2,0.0002074392337545035,-9.207862204243532e-05,2.615101080612516,7.466267126579512e-05
3,8.539663269080546e-05,1.61901313283268e-05,3.8050025825087426,5.210058094222825e-05
4,4.5725860992688624e-05,-1.0019539573800976e-06,5.537410791085346,3.63332794479233e-05
5,4.207132603493441e-05,7.539933761413341e-06,8.05505341313651,2.546380492634148e-05
6,6.263040734296159e-06,2.101695958250356e-05,11.715341762043648,1.7936303535962094e-05
7,2.4407879888648716e-05,8.351632961882179e-06,17.030040117494057,1.2779299069400066e-05
8,1.0852984945139627e-05,9.46470632130089e-06,24.74577712253633,9.260039252794179e-06
9,5.250407332062643e-06,2.3763398977420024e-06,35.946329360479375,6.907871721147256e-06
10,1.937064346428097e-06,-1.8219537547756148e-06,52.0612159294564,5.399007752718889e-06
11,-1.381995237692427e-06,2.3750584671735695e-06,75.01369309131066,4.73513385393391e-06
