,xi,sig,r
0,0.10364255941962405,0.009221598623870597,1.177781714115133
1,0.0854456037009692,0.00690996475346849,1.5915968114219448
2,0.052918070852505765,0.005130414270094552,2.1493219612202874
3,0.0432725154311371,0.0038176794804195414,2.901846368234013
4,0.033844505474420014,0.0028435122816745646,3.918089280622678
5,0.0228605188357754,0.0021226061501173118,5.288901215047123
6,0.015452944236448923,0.0015886566268795792,7.1400721017501825
7,0.010765936986032086,0.0011933265552925125,9.635506385093498
8,0.009231312450049205,0.0009014411712982498,13.007428276516642
9,0.007993477560377394,0.0006864515959690084,17.551793369414863
10,0.0027575661762774518,0.0005278763545197946,23.674538770513305
11,0.00011786291391498575,0.00041296762626060195,31.933782010752296
12,0.0013929848662169377,0.0003318561807720106,43.02194386619991
13,-0.006414599499827469,0.00027778777638303326,57.91007283920826
14,0.001271318675999741,0.00025295303580407063,77.69530048281777
