,xi+,xi-,r,sig
0,4.249935031297336e-05,-0.0003313087531826013,3.4984941322189815,0.00023043284778474936
1,-1.506954771948413e-05,-6.529718124611699e-05,4.656099735772392,0.0001770748855654554
2,-4.8122034339309056e-05,-0.0002499234422998802,6.182391585256522,0.00013521022715036894
3,0.00010795235169041958,0.00018082364858143618,8.208218784528919,0.00010330288632584827
4,-0.00017619193135811045,-4.034832554171644e-05,10.896560285153363,7.927833497604784e-05
5,0.0002680913411388752,-0.00020856061752299663,14.461136423457848,6.108350358713422e-05
6,-4.8842669418222966e-05,-7.182046862146028e-05,19.195802065101912,4.747817666396374e-05
7,0.00019591568766496014,-7.575526886296237e-05,25.469000181824935,3.7308508980316264e-05
8,4.176674603220417e-05,-3.4947011688806406e-05,33.7884192949973,2.977685161989639e-05
9,-7.129532369143516e-05,-0.00014910774493220256,44.78798276174797,2.4365294516798253e-05
10,-0.00015334684185895582,6.599148595020285e-05,59.30746921337632,2.0792937846006923e-05
11,-5.67818408605764e-05,0.0006637610470158564,78.34957873205298,1.9307746113594884e-05
