,xip,xim,r,sig
0,0.00020630666972036257,-4.1959379991508205e-05,1.2322103331852579,0.00012497159209693881
1,0.00010756695149949346,5.4984815335003845e-05,1.7973534668791393,8.731578865050925e-05
2,0.00015486172153195835,-2.7010398402743532e-05,2.616198988802168,6.0606506934936644e-05
3,7.525892391300333e-05,-2.811164573307449e-05,3.8065386196314135,4.205735731313593e-05
4,4.614105043666749e-05,-3.243205857396876e-05,5.537818644023943,2.9220882911069388e-05
5,7.883250942412927e-05,-1.0755118649731268e-05,8.055765995506723,2.0413736861102784e-05
6,3.9205510148442744e-05,1.3941675149954199e-05,11.71647162743075,1.4356186044901267e-05
7,3.346270037469799e-05,7.600806647812475e-06,17.030663533190364,1.021205009272218e-05
8,1.928201909554303e-05,4.484696435043259e-06,24.747993559476893,7.3920033984167304e-06
9,-3.885170945761519e-06,2.716364154080902e-06,35.94994743814574,5.510008764497744e-06
10,3.312407894734766e-06,1.172328511897552e-05,52.062434301415635,4.293667802125377e-06
11,-4.233095688318663e-07,5.522535467858893e-06,75.02704409139704,3.7588622850610275e-06
