,xi,sig,r
0,0.28222913635388097,0.008838197879145396,1.2881782534570752
1,0.1766856699595133,0.005694573982897943,2.0275144492271333
2,0.11247408548912957,0.0036549516507081653,3.1825242448416167
3,0.06914977051005032,0.002353630609509847,4.9915043356199655
4,0.05351016734095941,0.0015236831834048769,7.830822957186696
5,0.03863667688466417,0.0009968057826981497,12.278432115760207
6,0.022864570789047012,0.0006626414523691511,19.222181441629914
7,0.009165989208449564,0.00045340139952002706,30.07368023405217
8,0.0018790034273711408,0.0003277970975293665,46.880942900387126
9,-0.007704834873595604,0.0002679156264041672,72.4312429078387
