,xip,xim,r,sig
0,0.0003256142600106513,-6.0794289190083976e-05,1.2314879365850844,0.00019338510781043294
1,0.0003492329706580014,0.00014839895238708196,1.7972682750359306,0.00013603552789301414
2,1.3615932312959638e-05,5.489618529512167e-05,2.615736690928691,9.460243977598715e-05
3,4.6617700681233e-05,-3.6351399788664e-05,3.805525578121901,6.579426224766548e-05
4,8.151267750228743e-05,7.0819508022347e-05,5.536413958860413,4.5900745598711296e-05
5,7.409894383866194e-05,-6.96509251915248e-05,8.053932878322048,3.2166111758290464e-05
6,4.49804729673906e-05,5.24747900829437e-06,11.714244546551754,2.266394280444583e-05
7,5.0941215622689895e-05,8.527892972324143e-06,17.029314337876087,1.6147924753094687e-05
8,4.7652669614074865e-05,7.68515538037563e-06,24.745311162303096,1.1709928479463352e-05
9,5.6326674682481955e-06,2.096252697028573e-05,35.95144662782962,8.74560427809032e-06
10,-2.765157411861449e-06,1.1348787803338072e-05,52.0628893266823,6.8132063243246515e-06
11,-2.5423501807683454e-06,4.368909277074187e-06,75.03621512103291,5.956477901234246e-06
