,xi+,xi-,r,sig
0,-0.0024449817310677395,0.0036995005576477002,0.14933117952072716,0.0005549853106343092
1,0.0007558935061612609,-0.0004843735956230492,0.296622862013117,0.0003067081927298149
2,0.0009308271065107368,0.0009136655738782535,0.5879969886541159,0.00016400709925360496
3,0.001047446490554727,0.00018503139464095416,1.1608025094621746,8.60878568283022e-05
4,0.0002519809715082312,-0.00016623770530598887,2.2960770828212325,4.481994284916899e-05
5,1.4241245589237943e-05,9.111364427479484e-05,4.532065477260977,2.3203755778034348e-05
6,0.00016964110677461844,2.7570004075298525e-05,8.936227706006846,1.2114327417875967e-05
7,5.9221683571555515e-05,1.7135119556815878e-05,17.57805141600803,6.473644231178445e-06
8,1.3267682693339706e-05,-6.968231300671269e-05,34.36431544650585,3.6824822313364812e-06
9,6.244057011119375e-05,-7.389493370800883e-05,65.67705704568785,2.4987710533169153e-06
