,xi,sig,r
0,0.10726191112226624,0.007326198561687217,1.2828057920110685
1,0.06666852124664381,0.004753544119485025,1.9903161416198847
2,0.03993316802562162,0.003091187714780062,3.0841702809703273
3,0.03435584113496542,0.0020118814907862195,4.775146190385289
4,0.011323678280243358,0.0013173520606105818,7.401820765128805
5,0.012182040198748698,0.0008700978327590429,11.469043688261213
6,0.00766450005113347,0.000582784853549898,17.75497608708032
7,-0.0026221095252200667,0.00040018842133764424,27.455676651451615
8,-0.0008738565355141361,0.0002867527603018776,42.35486053868605
9,-0.0006147045801898588,0.00022639460239172926,65.04163269572521
