,xi,sig,r
0,0.1609296621234181,0.02442336001349128,1.2808752558808143
1,0.11783959120452987,0.015846897731838165,1.986058561916121
2,0.11740628072757033,0.010305097492466534,3.0830997339624235
3,0.08301992636005258,0.006707012585069111,4.779861520270357
4,0.05705387084292341,0.0043916586985593715,7.392156285379474
5,0.041191361430522044,0.0029006465546217207,11.458560413829936
6,0.021310267075458127,0.0019428308103870138,17.75772940637096
7,0.00786565655767213,0.0013341087885159763,27.456366679665628
8,0.01439885693724309,0.0009559481415559988,42.33882088253158
9,0.011937671184099328,0.0007547320527511093,65.10076571552854
