,xip,xim,r,sig
0,7.239930430002278e-05,5.1766676679853595e-05,1.3924492547637404,4.693578558572963e-05
1,6.204985837755373e-05,6.843155266544184e-05,2.4445871579209473,2.7231909828811324e-05
2,7.181393846517979e-05,1.2662763572509671e-05,4.289392380552579,1.577479932967633e-05
3,5.431611815527534e-05,-6.9932092204920256e-06,7.52273389781486,9.199948296867244e-06
4,2.9809623048577715e-05,4.295293912041014e-06,13.180299681849336,5.435215968748808e-06
5,1.7412271860727976e-05,5.071744279964075e-06,23.053395307917196,3.2995089053271084e-06
6,7.956740001847778e-06,6.789073983163103e-06,40.17390626574446,2.1288012738120764e-06
7,-3.40266560757951e-06,5.887357648297498e-06,68.87726172561028,1.598928570735464e-06
