,xi,sig,r
0,0.07504995184506554,0.010424422530605684,1.2820348646417596
1,0.042721929122393386,0.006763801445203507,1.9868871430737076
2,0.03223535603050429,0.004398440280993921,3.0829421313659475
3,0.02377653176911133,0.0028626991972533194,4.779354477500667
4,0.016221283673556647,0.0018744556792637845,7.403886649294978
5,0.013060579875372376,0.0012380591892605856,11.469331682522213
6,0.012200405123130179,0.0008292425473712766,17.766004126010277
7,0.000848048380784273,0.0005694267171102871,27.46464917968491
8,0.004609418740400676,0.00040801950834865795,42.351312242969385
9,0.0023443195087143615,0.00032213609474384,65.07620760884276
